,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,Hervey Bay,-25.3,152.85,63.0,90,40,5.01,AU,1594508668
120,Papara,-3.98,-38.73,81.0,74,43,9.17,BR,1594508803
121,Huaraz,-9.53,-77.53,56.8,53,78,4.29,PE,1594508803
122,Presidencia Roque Sáenz Peña,-26.79,-60.44,61.5,89,70,6.04,AR,1594508803
123,Saurimo,-9.66,20.39,66.72,34,0,5.1,AO,1594508803
124,Teluknaga,-6.1,106.64,79.0,88,20,5.82,ID,1594508663
125,Springbok,-29.66,17.89,39.63,72,0,11.1,ZA,1594508803
126,Sydney,-33.87,151.21,55.0,87,12,10.29,AU,1594508705
127,San Juan,-31.54,-68.54,53.31,43,17,8.12,AR,1594508794
128,Honiara,-9.43,159.95,80.6,83,40,2.24,SB,1594508672
129,Lorengau,-2.02,147.27,82.98,76,91,5.55,PG,1594508804
130,Touros,-5.2,-35.46,71.6,100,90,3.36,BR,1594508804
131,Vao,-22.67,167.48,69.8,76,73,19.15,NC,1594508804
132,Peruíbe,-24.32,-47.0,71.08,72,0,4.9,BR,1594508805
133,Popondetta,-8.75,148.25,81.55,70,26,1.39,PG,1594508805
134,Mitsamiouli,-11.38,43.28,77.0,66,13,3.44,KM,1594508805
135,Mount Gambier,-37.83,140.77,42.8,100,90,3.36,AU,1594508805
136,Natal,-5.79,-35.21,71.6,100,90,3.36,BR,1594508511
137,Murray Bridge,-35.12,139.27,51.01,99,80,3.0,AU,1594508806
138,Mahajanga,-15.72,46.32,74.16,61,9,14.47,MG,1594508806
139,João Pinheiro,-17.74,-46.17,65.66,60,26,3.71,BR,1594508806
140,Morón,-34.65,-58.62,53.01,42,73,1.99,AR,1594508806
141,Morros,-9.45,-46.3,76.71,43,52,3.51,BR,1594508807
142,Namatanai,-3.67,152.43,82.54,76,62,6.62,PG,1594508807
143,Guano,-1.58,-78.63,52.32,76,78,3.44,EC,1594508807
144,Kalemie,-5.95,29.19,71.56,65,24,1.43,CD,1594508807
145,Bariloche,-41.15,-71.31,32.0,94,75,14.99,AR,1594508808
146,Mount Isa,-20.73,139.5,55.4,40,0,13.87,AU,1594508737
147,Sunbury,-37.58,144.73,48.2,100,75,8.05,AU,1594508808
148,Jardim,-21.48,-56.14,73.18,54,0,4.68,BR,1594508808
149,Horqueta,-23.34,-57.06,77.29,55,43,5.35,PY,1594508808
150,Cabedelo,-6.98,-34.83,73.4,100,75,8.05,BR,1594508542
151,Urubichá,-15.38,-62.95,75.58,64,53,2.57,BO,1594508808
152,Aranos,-24.13,19.12,37.99,71,0,10.36,NA,1594508808
153,Guarapari,-20.67,-40.5,70.0,83,0,4.7,BR,1594508808
154,Uyuni,-20.46,-66.83,39.52,45,0,14.85,BO,1594508809
155,Roebourne,-20.78,117.13,60.39,33,0,19.19,AU,1594508809
156,Grahamstown,-33.3,26.53,52.0,72,8,5.01,ZA,1594508810
157,Saint-Leu,-21.15,55.28,69.8,77,52,4.7,RE,1594508810
158,Molo,-0.25,35.74,49.77,91,99,2.17,KE,1594508810
159,Vila Velha,-20.33,-40.29,70.0,83,0,4.7,BR,1594508539
160,Victoria Point,-27.58,153.3,64.99,88,16,5.35,AU,1594508810
161,Buala,-8.14,159.59,83.17,75,81,7.65,SB,1594508811
162,Luganville,-15.53,167.17,80.6,74,75,9.17,VU,1594508811
163,Wanaka,-44.7,169.15,41.92,84,100,6.58,NZ,1594508811
164,Porto Walter,-8.27,-72.74,79.77,66,94,1.36,BR,1594508811
165,Casma,-41.01,-73.12,46.4,70,75,5.82,CL,1594508812
166,Itarema,-2.92,-39.92,76.95,78,2,10.33,BR,1594508812
167,Teahupoo,-17.83,-149.27,84.2,51,20,18.34,PF,1594508812
168,Omboué,-1.57,9.26,72.99,92,20,7.43,GA,1594508812
169,Port Lincoln,-34.73,135.87,53.02,81,8,9.53,AU,1594508812
170,Dunedin,-45.87,170.5,51.01,81,100,4.0,NZ,1594508812
171,Itápolis,-21.6,-48.81,70.5,54,59,5.5,BR,1594508812
172,Sechura,-5.56,-80.82,69.37,66,3,18.32,PE,1594508812
173,Rawson,-43.3,-65.1,42.48,62,5,25.48,AR,1594508813
174,Paragominas,-2.97,-47.48,72.45,97,58,3.29,BR,1594508813
175,Huarmey,-10.07,-78.15,63.07,76,1,9.04,PE,1594508813
